2010,88,Tom Hooper
2011,62,Tate Taylor
2016,65,Tim Miller
2009,87,Asghar Farhadi
2008,59,Wilson Yip
2010,50,Karan Johar
2008,84,Danny Boyle
2010,79,Darren Aronofsky
2007,33,José Padilha
2012,69,Joss Whedon
2007,90,Vincent Paronnaud
2013,80,Jean-Marc Vallée
2006,64,Gabriele Muccino
2006,64,Edward Zwick
2007,85,Paul Greengrass
2004,72,Ki-duk Kim
2005,74,Frank Miller
2007,92,Julian Schnabel
2007,96,Brad Bird
2006,80,Martin Campbell
2004,83,Quentin Tarantino
2003,82,Andrey Zvyagintsev
2003,85,Ki-duk Kim
2014,74,Alejandro Amenábar
2005,69,Ron Howard
2003,54,Nikkhil Advani
2002,75,Andrew Lau
2003,63,Gore Verbinski
2003,58,Tim Burton
2004,90,Brad Bird
2003,60,Lars von Trier
2001,88,Richard Kelly
1999,77,Paul Thomas Anderson
2000,61,Lars von Trier
1999,86,David Lynch
1998,82,Thomas Vinterberg
1998,80,Walter Salles
1999,85,Brad Bird
1996,84,Billy Bob Thornton
1996,91,Mike Leigh
1995,74,Terry Gilliam
1995,76,Mamoru Oshii
1993,82,Henry Selick
1993,72,Harold Ramis
1993,47,Taylor Hackford
1992,59,Martin Brest
1992,86,Ron Clements
1991,72,Oliver Stone
1991,95,Gary Trousdale
1990,72,Kevin Costner
1989,93,Spike Lee
1988,65,Barry Levinson
1987,77,Rob Reiner
1987,79,Wim Wenders
1987,88,Louis Malle
1986,78,Hayao Miyazaki
1984,84,James Cameron
1982,79,Richard Attenborough
1980,84,Akira Kurosawa
1979,83,Hal Ashby
1977,92,Woody Allen
1975,87,Steven Spielberg
1975,86,Sidney Lumet
1974,80,Mel Brooks
1973,58,Franklin J. Schaffner
1973,81,William Friedkin
1971,93,Peter Bogdanovich
1971,67,Norman Jewison
1970,100,Bernardo Bertolucci
1969,66,George Roy Hill
1968,96,Roman Polanski
1968,79,Franklin J. Schaffner
1967,83,Mike Nichols
1966,75,Mike Nichols
1965,63,Robert Wise
1965,69,David Lean
1964,65,Sergio Leone
1963,91,Federico Fellini
1961,90,Robert Rossen
1960,95,Federico Fellini
1959,93,Howard Hawks
1959,95,Otto Preminger
1958,99,Orson Welles
1958,84,Richard Brooks
1957,100,Alexander Mackendrick
1956,91,Stanley Kubrick
1955,99,Charles Laughton
1953,84,Billy Wilder
1953,78,William Wyler
1951,97,Elia Kazan
1948,73,Alfred Hitchcock
1945,92,David Lean
1946,93,William Wyler
1941,96,John Huston
1940,96,John Ford
1939,92,Victor Fleming
1934,86,W.S. Van Dyke
1930,91,Lewis Milestone
1925,97,Sergei M. Eisenstein
2019,82,Rian Johnson
2018,93,Hirokazu Koreeda
2019,94,Noah Baumbach
2017,93,Luca Guadagnino
2016,78,Ken Loach
2018,82,Wes Anderson
2016,81,Taika Waititi
2016,72,Matt Ross
2016,79,John Carney
2017,74,Taika Waititi
2014,76,Dan Gilroy
2019,58,Taika Waititi
2016,81,Denis Villeneuve
2015,80,J.J. Abrams
2013,94,Richard Linklater
2014,75,Bryan Singer
2011,82,Nuri Bilge Ceylan
2011,89,Michel Hazanavicius
2014,71,Doug Liman
2012,94,Michael Haneke
2019,94,Martin Scorsese
2009,90,Jacques Audiard
2009,67,Duncan Jones
2008,82,Tomas Alfredson
2009,81,Neill Blomkamp
2008,80,Darren Aronofsky
2014,100,Richard Linklater
2007,97,Cristian Mungiu
2009,82,J.J. Abrams
2008,67,Martin McDonagh
2006,89,Clint Eastwood
2006,64,Tarsem Singh
2012,79,Ang Lee
2009,83,Wes Anderson
2005,81,Jean-Marc Vallée
2004,56,Christophe Barratier
2008,79,Jon Favreau
2004,76,Edgar Wright
2004,78,Fatih Akin
2003,84,Clint Eastwood
2004,82,Alfonso Cuarón
2002,85,Yimou Zhang
2002,86,Pedro Almodóvar
2001,84,Danis Tanovic
2001,61,Shin'ichirô Watanabe
2002,68,Doug Liman
2000,80,Fabián Bielinsky
2006,84,Alfonso Cuarón
2000,90,Cameron Crowe
2001,85,David Lynch
1999,88,John Lasseter
1997,85,Paul Thomas Anderson
1995,75,Yoshifumi Kondô
1994,77,Lee Tamahori
1993,59,Tony Scott
1993,85,Krzysztof Kieslowski
1993,65,Brian De Palma
1990,74,Tim Burton
1989,97,Jim Sheridan
1989,77,Woody Allen
1987,79,Brian De Palma
1986,90,Woody Allen
1985,84,Terry Gilliam
1984,92,Rob Reiner
1983,77,Bob Clark
1980,60,John Landis
1979,83,Woody Allen
1979,72,Bob Fosse
1978,71,George A. Romero
1976,84,Alan J. Pakula
1973,76,Alejandro Jodorowsky
1972,93,Luis Buñuel
1971,62,Hal Ashby
1970,91,Franklin J. Schaffner
1969,97,Sam Peckinpah
1968,89,George A. Romero
1967,75,Norman Jewison
1963,83,Stanley Donen
1962,94,John Frankenheimer
1960,87,Stanley Kubrick
1956,94,John Ford
1955,72,Elia Kazan
1952,89,Fred Zinnemann
1951,88,Alfred Hitchcock
1947,88,George Seaton
1946,100,Alfred Hitchcock
1940,96,George Cukor
1938,97,Michael Curtiz
1933,90,Merian C. Cooper
1932,80,Tod Browning
2019,51,Guy Ritchie
2019,81,Darius Marder
2016,85,Asghar Farhadi
2017,94,Christopher Nolan
2016,74,Theodore Melfi
2017,88,Paul King
2016,84,Travis Knight
2016,96,Kenneth Lonergan
2015,75,Martin Zandvliet
2016,65,Gareth Edwards
2016,75,Anthony Russo
2015,68,Quentin Tarantino
2019,91,Greta Gerwig
2017,62,Dorota Kobiela
2014,79,Matthew Warchus
2013,85,Asghar Farhadi
2013,86,Paolo Sorrentino
2013,76,Ritesh Batra
2014,74,Don Hall
2013,55,Richard Curtis
2013,83,Hayao Miyazaki
2019,84,Josh Cooley
2013,49,Giuseppe Tornatore
2012,84,Wes Anderson
2014,76,Dean DeBlois
2015,81,Adam McKay
2010,67,Jee-woon Kim
2011,71,David Fincher
2013,82,Paul Greengrass
2015,72,F. Gary Gray
2009,79,Bong Joon Ho
2008,64,Hong-jin Na
2013,66,Peter Jackson
2009,82,Michael Haneke
2009,76,Niels Arden Oplev
2020,77,Aaron Sorkin
2020,81,Thomas Vinterberg
2010,79,David O. Russell
2008,51,Pierre Morel
2008,55,Mark Herman
2007,88,John Carney
2012,58,Peter Jackson
2007,85,Fatih Akin
2007,85,Joe Wright
2011,78,Nicolas Winding Refn
2007,76,Ridley Scott
2009,83,James Cameron
2009,63,Jaco Van Dormael
2006,68,Mel Gibson
2006,80,Jonathan Dayton
2007,81,Edgar Wright
2008,70,David Fincher
2004,67,Yash Chopra
2005,51,Anders Thomas Jensen
2005,82,Joe Wright
2005,68,Roger Donaldson
2003,73,Satoshi Kon
2005,74,Joss Whedon
2005,72,James Mangold
2003,61,Mikael Håfström
2004,53,Nick Cassavetes
2004,75,Walter Salles
2002,82,Lukas Moodysson
2003,91,Sylvain Chomet
2000,58,Chan-wook Park
2002,61,Kevin Reynolds
2001,83,Richard Linklater
2000,48,Boaz Yakin
2000,94,Ang Lee
1999,87,Pedro Almodóvar
2000,73,Robert Zemeckis
1999,44,Troy Duffy
1999,84,Michael Mann
1999,71,Joe Johnston
2001,84,Andrew Adamson
1997,75,James Cameron
1997,64,Andrew Niccol
1997,61,David Fincher
1996,76,Lars von Trier
1994,70,Tim Burton
1993,73,Lasse Hallström
1993,50,George P. Cosmatos
1993,55,David Mickey Evans
1993,84,James Ivory
1993,84,Mike Leigh
1993,87,Andrew Davis
1993,80,Robert De Niro
1991,68,Jim Jarmusch
1991,86,Krzysztof Kieslowski
1991,76,John Singleton
1990,75,Rob Reiner
1990,74,Penny Marshall
1989,83,Hayao Miyazaki
1989,78,Edward Zwick
1989,82,John Woo
1989,57,Robert Zemeckis
1988,65,Alan Parker
1987,45,John McTiernan
1987,72,Sam Raimi
1986,61,John Hughes
1986,75,Jim Jarmusch
1985,62,Richard Donner
1985,78,Steven Spielberg
1985,66,John Hughes
1984,76,Roland Joffé
1984,71,Ivan Reitman
1983,91,Philip Kaufman
1982,73,Martin Scorsese
1982,91,Steven Spielberg
1979,77,Robert Benton
1978,93,Terrence Malick
1976,69,Clint Eastwood
1975,91,John Huston
1974,85,Francis Ford Coppola
1973,73,René Laloux
1973,80,Fred Zinnemann
1973,93,Terrence Malick
1972,80,Bob Fosse
1971,67,Mel Stuart
1969,79,John Schlesinger
1967,81,Terence Young
1967,63,Stanley Kramer
1967,86,Arthur Penn
1964,95,George Cukor
1964,88,Robert Stevenson
1962,75,Ken Annakin
1962,97,François Truffaut
1961,88,Jack Clayton
1943,94,Alfred Hitchcock
1939,93,John Ford
1938,98,Alfred Hitchcock
1938,91,Howard Hawks
1935,95,James Whale
1933,93,Leo McCarey
1932,87,Howard Hawks
1931,91,James Whale
2018,96,Alfonso Cuarón
2017,85,Francis Lee
2018,66,David Leitch
2017,73,Taylor Sheridan
2017,85,Jordan Peele
2018,86,Christopher McQuarrie
2015,70,Hannes Holm
2014,76,Jemaine Clement
2014,72,James Simone
2014,72,James Marsh
2014,60,Matthew Vaughn
2014,69,Josh Boone
2015,74,Alfonso Gomez-Rejon
2014,87,Alejandro G. Iñárritu
2013,89,Abdellatif Kechiche
2013,40,Abhishek Kapoor
2012,70,Felix van Groeningen
2014,70,Anthony Russo
2013,87,Alexander Payne
2012,72,Rich Moore
2015,70,Mark Osborne
2011,52,Tony Kaye
2011,81,Woody Allen
2014,83,Christopher Miller
2013,96,Alfonso Cuarón
2013,72,J.J. Abrams
2015,79,Cary Joji Fukunaga
2010,95,David Fincher
2011,65,Matthew Vaughn
2009,73,Todd Phillips
2012,81,Sam Mendes
2012,81,David O. Russell
2012,86,Ben Affleck
2009,76,Marc Webb
2010,65,David Yates
2008,86,Hayao Miyazaki
2008,80,Ron Howard
2006,81,Satoshi Kon
2008,63,Clint Eastwood
2010,45,Rob Reiner
2006,86,Shane Meadows
2014,78,Alex Garland
2006,78,Susanne Bier
2006,74,Kevin Macdonald
2007,78,David Fincher
2006,53,Paul McGuigan
2005,70,Christian Carion
2007,78,Anton Corbijn
2010,71,Nathan Greno
2006,71,Paul Verhoeven
2005,87,Ang Lee
2007,76,James Mangold
2004,66,Paul Haggis
2004,78,Stephen Chow
2004,73,Paul Greengrass
2004,61,Brad Anderson
2004,73,Taylor Hackford
2003,89,Sofia Coppola
2005,81,Mike Newell
2004,47,Tony Scott
2009,80,Henry Selick
2003,55,Edward Zwick
2002,83,Peter Mullan
2003,68,Wolfgang Becker
2002,76,Jim Sheridan
2001,28,Jessie Nelson
2002,83,Spike Jonze
2001,74,Ridley Scott
2002,72,Sam Mendes
2001,60,Oliver Hirschbiegel
2000,74,Stephen Daldry
2001,85,John Cameron Mitchell
2001,74,Steven Soderbergh
2000,62,Yoshiaki Kawajiri
2000,69,Joel Coen
2002,,Bob Gale
1999,73,Trey Parker
1999,68,Mike Judge
1998,81,Todd Solondz
2001,69,Antoine Fuqua
1998,86,Wes Anderson
1997,,Alejandro Amenábar
1999,90,Spike Jonze
1997,67,James L. Brooks
1997,52,Luc Besson
1998,73,Francis Veber
1997,76,Mike Newell
1996,87,Scott Hicks
1996,47,Gregory Hoblit
1996,,Kenneth Branagh
1995,83,Alfonso Cuarón
1995,71,Kar-Wai Wong
1994,81,Michael Radford
1994,70,Kevin Smith
1993,79,Robert Altman
1993,66,Jonathan Demme
1992,64,Brian Henson
1992,73,Spike Lee
1992,76,Michael Mann
1992,83,Hayao Miyazaki
1992,82,James Foley
1992,62,Rob Reiner
1991,64,Jon Avnet
1991,69,Joel Coen
1990,66,Joel Coen
1988,83,Robert Zemeckis
1987,84,Bruce Robinson
1987,76,Bernardo Bertolucci
1987,62,Steven Spielberg
1986,54,Jean-Jacques Annaud
1986,76,David Lynch
1985,75,Woody Allen
1985,90,Martin Scorsese
1982,77,Sidney Lumet
1982,67,Nicholas Meyer
1982,61,Ted Kotcheff
1980,86,Robert Redford
1980,78,Jim Abrahams
1979,71,Hayao Miyazaki
1978,87,John Carpenter
1976,71,Roman Polanski
1975,89,Woody Allen
1974,68,Joseph Sargent
1974,73,Mel Brooks
1973,87,Sidney Lumet
1973,83,Robert Clouse
1972,80,John Boorman
1971,94,William Friedkin
1971,90,Don Siegel
1968,63,Brian G. Hutton
1968,86,Gene Saks
1967,73,Robert Aldrich
1966,72,Fred Zinnemann
1965,91,Roman Polanski
1964,77,Cy Endfield
1964,87,Guy Hamilton
1963,90,Alfred Hitchcock
1962,76,J. Lee Thompson
1960,74,John Sturges
1960,90,Georges Franju
1956,92,Don Siegel
1955,89,Nicholas Ray
1955,91,Alexander Mackendrick
1954,72,Billy Wilder
1951,91,John Huston
1940,96,James Algar
1933,87,James Whale
2019,73,Todd Haynes
2018,71,Aneesh Chaganty
2019,83,Quentin Tarantino
2017,86,Andrey Zvyagintsev
2017,92,Sean Baker
2019,68,Destin Daniel Cretton
2017,60,Marc Webb
2019,70,Tyler Nilson
2015,77,Sebastian Schipper
2015,83,Deniz Gamze Ergüven
2017,67,James Gunn
2017,86,Edgar Wright
2017,72,Joseph Kosinski
2015,81,Steven Spielberg
2018,80,Brad Bird
2016,81,Ron Clements
2015,82,Denis Villeneuve
2015,82,Ryan Coogler
2014,92,Andrey Zvyagintsev
2016,88,David Mackenzie
2013,77,Stephen Frears
2014,79,Matt Reeves
2011,73,Gareth Evans
2012,68,David Ayer
2010,80,Hiromasa Yonebayashi
2018,88,Bradley Cooper
2010,80,Ethan Coen
2010,65,Susanne Bier
2010,72,Pierre Coffin
2011,72,Jonathan Levine
2010,66,Matthew Vaughn
2011,87,Bennett Miller
2011,70,Pedro Almodóvar
2009,73,Ruben Fleischer
2009,57,Guy Ritchie
2009,53,John Lee Hancock
2007,79,Tom McCarthy
2008,36,Gabriele Muccino
2007,82,David Cronenberg
2007,66,Matthew Vaughn
2009,81,Tomm Moore
2006,76,Spike Lee
2007,72,Ben Affleck
2007,66,Olivier Dahan
2006,70,Ronny Yu
2006,68,Neil Burger
2004,52,Shane Meadows
2009,78,David Yates
2006,52,Zack Snyder
2005,72,Woody Allen
2009,56,Zack Snyder
2005,62,Andrew Niccol
2004,46,James Wan
2008,67,Charlie Kaufman
2004,73,Gregg Araki
2003,45,Yann Samuell
2004,76,Jean-Pierre Jeunet
2003,81,Tom McCarthy
2003,70,Alejandro G. Iñárritu
2002,56,Chan-wook Park
2004,67,Marc Forster
2002,68,Spike Lee
2004,30,Eric Bress
2002,73,Danny Boyle
2000,81,Kinji Fukasaku
2001,76,Wes Anderson
2001,88,Alfonso Cuarón
2001,64,Chris Columbus
2001,74,Alejandro Amenábar
2001,52,Ted Demme
2001,53,Jean-Jacques Annaud
2002,80,Steven Spielberg
1999,74,Norman Jewison
2000,64,Mary Harron
1998,77,Tom Tykwer
1998,78,Terrence Malick
1998,71,Tony Bancroft
1998,41,Terry Gilliam
1997,69,Michael Haneke
1998,66,Alex Proyas
1996,49,Barry Levinson
1997,52,David Lynch
1995,84,Ang Lee
1995,58,John McTiernan
1995,62,Jim Jarmusch
1995,69,Clint Eastwood
1994,88,Krzysztof Kieslowski
1993,56,Joel Schumacher
1993,78,Richard Linklater
